School,Conference,AAC,Big10,Big12,CUSA,Ind,ACC,MAC,MWC ,Pac12,SEC,SunBelt,School(Shortened),Conference(Shortened),Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,GSR,FGR,StadiumCapacity,Stadium,Win,Loss,Ratio
Rice University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Rice,C-USA,Mike Bloomgren,,,,,0,,88,86,47000,Rice Stadium,3,9,25.00%
"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Rutgers,Big Ten,Chris Ash,2200000,2200000,960000,50000,0,10350000,70,54,52454,SHI Stadium,2,10,16.70%
San Diego State University,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,San Diego State,Mt. West,Rocky Long,872576,873576,720000,95000,0,447412,85,73,27000,Dignity Health Sports Park,10,3,76.90%
San Jose State University,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,San Jose State,Mt. West,Brent Brennan,590424,590424,210000,0,0,1476060,72,68,30456,CEFCU Stadium,5,7,41.70%
University of South Alabama,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,1,South Alabama,Sun Belt,Steve Campbell,600000,600000,295000,,0,918333,77,57,25450,Hancock Whitney Stadium,2,10,16.70%
"University of South Carolina, Columbia",Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,South Carolina,SEC,Will Muschamp,4200000,4200000,1400000,100000,0,18650000,89,65,80250,Williams-Brice Stadium,4,8,33.30%
University of South Florida,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,South Florida,AAC,Charlie Strong,1000000,1000000,815000,70000,0,192308,76,61,65857,Raymond James Stadium,4,8,33.30%
University of Southern California,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Southern California,Pac-12,Clay Helton,2625965,2625965,,,0,,82,62,77500,Los Angeles Memorial Coliseum,8,5,61.50%
Southern Methodist University,American Athletic Conference,1,0,0,0,0,0,0,0,0,0,0,Southern Methodist,AAC,Sonny Dykes,,,,,0,,75,64,32000,Gerald J. Ford Stadium,10,3,76.90%
The University of Southern Mississippi,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Southern Mississippi,C-USA,Jay Hopson,500000,500000,870000,15000,0,1583333,70,55,36000,Carlisle-Faulkner Field at M.M. Roberts Stadium,7,6,53.80%
Stanford University,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Stanford,Pac-12,David Shaw,4311543,4311543,,,0,,90,86,50424,Stanford Stadium,6,8,33.30%
